file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,174,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,12
style.css,175,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,176,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,177,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,178,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,5
style.css,179,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,17
style.css,180,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,181,css,eacb5d92,prithvikochhar,2025-05-02,21:45:06,-07:00,2025-05-02T21:45:06-07:00,0,0
style.css,182,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,10
style.css,183,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,36
style.css,184,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,185,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,11
style.css,186,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,18
style.css,187,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,188,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,189,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,5
style.css,190,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,15
style.css,191,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
style.css,192,css,fd99a4c9,prithvikochhar,2025-05-02,22:29:08,-07:00,2025-05-02T22:29:08-07:00,0,0
index.js,1,js,7d434a08,prithvikochhar,2025-04-25,19:18:29,-07:00,2025-04-25T19:18:29-07:00,0,72
index.js,2,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,55
index.js,3,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,43
index.js,4,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,61
index.js,5,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,55
index.js,6,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,58
